uren;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;;;;
13-3-2023;21,16586901;;;;;;;;;;;;;;;;;;;;;;;;;;;
14-3-2023;21,21422353;;;;;;;;;;;;;;;;;;;;;;;;;;;
15-3-2023;21,26268852;;;;;;;;;;;;;;;;;;;;;;;;;;;
16-3-2023;21,31126423;;;;;;;;;;;;;;;;;;;;;;;;;;;
17-3-2023;21,35995092;;;;;;;;;;;;;;;;;;;;;;;;;;;
18-3-2023;21,40874883;;;;;;;;;;;;;;;;;;;;;;;;;;;
19-3-2023;21,45765823;;;;;;;;;;;;;;;;;;;;;;;;;;;
20-3-2023;21,50667936;;;;;;;;;;;;;;;;;;;;;;;;;;;
21-3-2023;21,55581248;;;;;;;;;;;;;;;;;;;;;;;;;;;
22-3-2023;21,60505785;;;;;;;;;;;;;;;;;;;;;;;;;;;
23-3-2023;21,65441572;;;;;;;;;;;;;;;;;;;;;;;;;;;
24-3-2023;21,70388635;;;;;;;;;;;;;;;;;;;;;;;;;;;
25-3-2023;21,75347;;;;;;;;;;;;;;;;;;;;;;;;;;;
26-3-2023;21,80316693;;;;;;;;;;;;;;;;;;;;;;;;;;;
27-3-2023;21,85297739;;;;;;;;;;;;;;;;;;;;;;;;;;;
28-3-2023;21,90290165;;;;;;;;;;;;;;;;;;;;;;;;;;;
29-3-2023;21,95293996;;;;;;;;;;;;;;;;;;;;;;;;;;;
30-3-2023;22,00309259;;;;;;;;;;;;;;;;;;;;;;;;;;;
31-3-2023;22,05335979;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-4-2023;22,10374183;;;;;;;;;;;;;;;;;;;;;;;;;;;
2-4-2023;22,15423898;;;;;;;;;;;;;;;;;;;;;;;;;;;
3-4-2023;22,20485148;;;;;;;;;;;;;;;;;;;;;;;;;;;
4-4-2023;22,25557961;;;;;;;;;;;;;;;;;;;;;;;;;;;
5-4-2023;22,30642363;;;;;;;;;;;;;;;;;;;;;;;;;;;
6-4-2023;22,35738381;;;;;;;;;;;;;;;;;;;;;;;;;;;
7-4-2023;22,40846041;;;;;;;;;;;;;;;;;;;;;;;;;;;
8-4-2023;22,4596537;;;;;;;;;;;;;;;;;;;;;;;;;;;
9-4-2023;22,51096394;;;;;;;;;;;;;;;;;;;;;;;;;;;
10-4-2023;22,5623914;;;;;;;;;;;;;;;;;;;;;;;;;;;
11-4-2023;22,61393635;;;;;;;;;;;;;;;;;;;;;;;;;;;
12-4-2023;22,66559906;;;;;;;;;;;;;;;;;;;;;;;;;;;
13-4-2023;22,71737979;;;;;;;;;;;;;;;;;;;;;;;;;;;
14-4-2023;22,76927882;;;;;;;;;;;;;;;;;;;;;;;;;;;
15-4-2023;22,82129642;;;;;;;;;;;;;;;;;;;;;;;;;;;
16-4-2023;22,87343285;;;;;;;;;;;;;;;;;;;;;;;;;;;
17-4-2023;22,92568839;;;;;;;;;;;;;;;;;;;;;;;;;;;
