;Jaar;Oppervlakte (in m^2);Totaal Energieverbruik (in kWh)
0;2022;370000;2,21E+07
1;2023;381111,11;2,35E+07
2;2024;392222,22;2,49E+07
3;2025;403333,33;2,62E+07
4;2026;414444,44;2,76E+07
5;2027;425555,55;2,90E+07
6;2028;436666,66;3,04E+07
7;2029;447777,77;3,17E+07
8;2030;458888,88;3,31E+07
